command,currencyPair,amount,rate,immediateOrCancel,nonce
buy,BTC_LTC,1.13948625,0.01732000,1,1517704220033
sell,BTC_LTC,1.13663754,0.01729504,1,1517704819895
buy,BTC_LTC,1.11330633,0.01776099,1,1517709322438
sell,BTC_LTC,1.11052308,0.01780669,1,1517710819751
buy,BTC_LTC,1.11177208,0.01779986,1,1517711121115
sell,BTC_LTC,1.10899265,0.01772577,1,1517711420210
buy,BTC_LTC,1.10272478,0.01794390,1,1517714421727
sell,BTC_LTC,1.09996798,0.01785991,1,1517714720427
buy,BTC_LTC,1.10552720,0.01782681,1,1517715023602
sell,BTC_LTC,1.10276339,0.01753536,1,1517718319698
buy,BTC_LTC,1.10940069,0.01769994,1,1517718619829
sell,BTC_LTC,1.10662719,0.01762087,1,1517719221205
buy,BTC_LTC,1.05560968,0.01860000,1,1517724323327
sell,BTC_LTC,1.05297066,0.01830850,1,1517727322343
buy,BTC_LTC,1.06699258,0.01838987,1,1517727924060
sell,BTC_LTC,1.06432510,0.01830850,1,1517728221465
buy,BTC_LTC,1.06777601,0.01831869,1,1517730320054
sell,BTC_LTC,1.06510657,0.01743000,1,1517738720284
buy,BTC_LTC,1.10616989,0.01748764,1,1517739020159
sell,BTC_LTC,1.10340447,0.01741460,1,1517740520848
buy,BTC_LTC,1.11443170,0.01740200,1,1517741420705
sell,BTC_LTC,1.11164563,0.01755436,1,1517741720970
buy,BTC_LTC,1.07852578,0.01804000,1,1517745020118
sell,BTC_LTC,1.07582948,0.01764426,1,1517747120931
buy,BTC_LTC,3.32373327,0.01745368,1,1517747421379
sell,BTC_LTC,3.31542394,0.01774668,1,1517748020436
buy,BTC_LTC,3.26199767,0.01799202,1,1517751329901
sell,BTC_LTC,3.25384268,0.01789870,1,1517751925381
buy,BTC_LTC,3.27343391,0.01786406,1,1517752229214
sell,BTC_LTC,3.26525034,0.01788453,1,1517753420399
buy,BTC_LTC,3.24353299,0.01804114,1,1517756120125
sell,BTC_LTC,3.23542417,0.01789999,1,1517758821909
buy,BTC_LTC,3.25405273,0.01787492,1,1517759120843
sell,BTC_LTC,3.24591760,0.01787060,1,1517760624336
buy,BTC_LTC,3.25305679,0.01790089,1,1517761520079
sell,BTC_LTC,3.24492415,0.01779218,1,1517762720476
buy,BTC_LTC,3.23261649,0.01802942,1,1517763621238
sell,BTC_LTC,3.22453498,0.01788425,1,1517763921225
buy,BTC_LTC,3.22923720,0.01793579,1,1517766022334
sell,BTC_LTC,3.22116411,0.01787105,1,1517768121831
buy,BTC_LTC,3.23425513,0.01792599,1,1517769920516
sell,BTC_LTC,3.22616950,0.01754863,1,1517778021397
buy,BTC_LTC,4.34857993,0.01754700,1,1517779522749
buy,BTC_LTC,4.34050148,0.01761499,1,1517779821302
buy,BTC_LTC,4.34276695,0.01755399,1,1517780421256
buy,BTC_LTC,4.34251704,0.01757997,1,1517780720753
buy,BTC_LTC,4.32931032,0.01760203,1,1517781019933
sell,BTC_LTC,4.31848705,0.01742394,1,1517782221200
buy,BTC_LTC,4.20144339,0.01807393,1,1517786123800
buy,BTC_LTC,4.19243023,0.01807897,1,1517786421193
buy,BTC_LTC,4.19642302,0.01801359,1,1517786720664
sell,BTC_LTC,4.18593197,0.01797558,1,1517787020485
buy,BTC_LTC,4.20302042,0.01805298,1,1517788822677
buy,BTC_LTC,4.19833876,0.01809517,1,1517789119990
buy,BTC_LTC,4.20183447,0.01803400,1,1517789720828
sell,BTC_LTC,4.19132989,0.01795716,1,1517790321703
buy,BTC_LTC,4.18037907,0.01813491,1,1517792422252
buy,BTC_LTC,4.19413089,0.01807902,1,1517792721014
buy,BTC_LTC,4.20305974,0.01800931,1,1517793021810
sell,BTC_LTC,4.19255210,0.01784584,1,1517795421357
buy,BTC_LTC,4.09116369,0.01837804,1,1517802920972
sell,BTC_LTC,4.08093579,0.01824764,1,1517803220394
buy,BTC_LTC,4.08030127,0.01835889,1,1517804120491
